Time,Pitch(Deg),Roll(Deg),Yaw(Deg),AngVelX(PitchSpeed),AngVelZ(RollSpeed),AngVelY(YawSpeed),VerticalVelocity,Altitude
1.700,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.720,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.740,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.760,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.780,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.800,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.820,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.840,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.860,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.880,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.900,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.920,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.940,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.960,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.980,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.020,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.040,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.060,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.080,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.100,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.120,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.140,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.160,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.180,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.200,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.220,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.240,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.260,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.280,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.300,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.320,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.340,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.360,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.380,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.400,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.420,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.440,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.460,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.480,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.500,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.520,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.540,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.560,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.580,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.600,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.620,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.640,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.660,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.680,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.700,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.720,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.740,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.760,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.780,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.800,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.820,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.840,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.860,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.880,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.900,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.920,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.940,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.960,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
2.980,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
3.000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
3.020,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
3.040,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
3.060,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
3.080,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
3.100,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
3.120,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
3.140,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
3.160,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
3.180,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
3.200,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
3.220,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
3.240,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
3.260,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
